sample_id	file	total_mass	internal_scale	external_scale
OT01_P1_A03_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P1_A03/abundances.cxb	1.21308e+06	1	1
OT01_P1_A04_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P1_A04/abundances.cxb	97	1	1
OT01_P1_A05_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P1_A05/abundances.cxb	119	1	1
OT01_P1_A06_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P1_A06/abundances.cxb	79	1	1
OT01_P1_A07_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P1_A07/abundances.cxb	644520	1	1
OT01_P1_A08_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P1_A08/abundances.cxb	1.82079e+06	1	1
OT01_P1_A10_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P1_A10/abundances.cxb	584138	1	1
OT01_P1_A12_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P1_A12/abundances.cxb	1.95166e+06	1	1
OT01_P1_B01_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P1_B01/abundances.cxb	132548	1	1
OT01_P1_B02_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P1_B02/abundances.cxb	316977	1	1
OT01_P1_B04_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P1_B04/abundances.cxb	240873	1	1
OT01_P1_B05_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P1_B05/abundances.cxb	170560	1	1
OT01_P1_B06_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P1_B06/abundances.cxb	1.0087e+06	1	1
OT01_P1_B07_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P1_B07/abundances.cxb	908302	1	1
OT01_P1_B09_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P1_B09/abundances.cxb	106	1	1
OT01_P1_B10_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P1_B10/abundances.cxb	123	1	1
OT01_P1_B11_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P1_B11/abundances.cxb	105938	1	1
OT01_P1_B12_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P1_B12/abundances.cxb	2.12098e+06	1	1
OT01_P1_C02_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P1_C02/abundances.cxb	464578	1	1
OT01_P1_C03_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P1_C03/abundances.cxb	203847	1	1
OT01_P1_C05_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P1_C05/abundances.cxb	640817	1	1
